age,monthly_income,credit_score,purchase_amount,bnpl_installments,app_usage_frequency,debt_to_income_ratio,employment_type_Self-Employed,employment_type_Student,employment_type_Unemployed,product_category_Electronics,product_category_Fashion,product_category_Home,product_category_Sports,location_Canada,location_Germany,location_India,location_UK,location_USA,default_probability,actual_default,custom_risk_segment
20,8546.4,319,3276.37,3,1.41,0.3833625854160816,False,False,True,False,True,False,False,False,False,False,False,True,0.5382557056488649,0,Medium Risk
34,11686.1,300,2872.76,9,8.94,0.2458270937267352,True,False,False,False,True,False,False,True,False,False,False,False,0.6374028284742087,0,High Risk
30,12822.98,326,4465.2,12,5.46,0.3482185888147684,False,False,False,True,False,False,False,False,False,True,False,False,0.6041302791750757,1,High Risk
38,54036.53,511,5000.0,3,7.69,0.0925299977626246,False,True,False,False,False,False,False,False,True,False,False,False,0.5460639621784809,1,Medium Risk
28,58883.42,529,5000.0,9,9.11,0.0849135461221512,True,False,False,False,True,False,False,True,False,False,False,False,0.6888072576875723,1,High Risk
47,51010.92,494,5000.0,6,9.7,0.0980182282538719,False,True,False,False,False,False,False,False,False,False,False,False,0.5384602523522168,0,Medium Risk
54,15895.88,306,5000.0,3,1.27,0.3145469140431357,False,False,True,False,False,True,False,False,False,False,False,False,0.5813597179684126,1,Medium Risk
48,18690.41,300,4842.53,6,3.46,0.2590916946177211,False,False,False,True,False,False,False,False,False,False,True,False,0.6606557265193456,1,High Risk
48,29390.01,470,5000.0,9,6.07,0.1701258352753197,True,False,False,False,False,True,False,False,True,False,False,False,0.6060281161110948,0,High Risk
27,12629.47,311,4223.03,3,2.78,0.3343790356998354,False,False,False,True,False,False,False,False,False,True,False,False,0.5737420314551038,0,Medium Risk
41,19497.95,391,5000.0,3,4.09,0.2564372151944178,True,False,False,False,False,True,False,False,False,False,True,False,0.5643041113047432,1,Medium Risk
31,8036.49,337,2068.97,3,9.67,0.2574469700080508,True,False,False,False,False,True,False,False,False,False,True,False,0.5634246689203145,0,Medium Risk
27,6930.72,376,893.85,12,2.26,0.1289692845764942,True,False,False,True,False,False,False,False,True,False,False,False,0.5057367882605183,0,Medium Risk
49,10300.56,353,4324.34,9,1.94,0.4198160100033397,True,False,False,False,False,False,False,False,False,False,False,True,0.5460490252475765,0,Medium Risk
34,20256.36,439,5000.0,3,3.71,0.2468360554413527,False,False,False,False,False,False,False,False,False,False,False,True,0.5925278314008338,1,Medium Risk
49,86568.95,733,100.0,3,6.64,0.0011551485838744,False,False,False,False,True,False,False,False,False,False,False,True,0.09861267133358453,0,Low Risk
55,9911.64,382,2454.52,6,2.97,0.2476401483508279,False,False,False,False,False,True,False,False,False,False,False,True,0.5397456754505624,0,Medium Risk
58,14367.47,300,1595.98,12,4.99,0.1110828837645041,True,False,False,False,False,True,False,False,False,False,False,False,0.5290408590712755,0,Medium Risk
20,31949.73,397,1867.63,3,1.34,0.0584552670711145,False,False,False,True,False,False,False,False,False,True,False,False,0.526621408857453,1,Medium Risk
29,53134.39,526,5000.0,6,6.96,0.0941010144277557,False,True,False,False,False,False,True,True,False,False,False,False,0.5853181192871965,0,Medium Risk
28,8165.38,319,4783.85,6,1.33,0.5858698554139551,False,False,False,True,False,False,False,True,False,False,False,False,0.5270545369320171,0,Medium Risk
44,9947.88,351,2688.39,9,9.3,0.2702475301270221,False,False,False,False,False,True,False,False,False,False,False,True,0.5214336368624537,0,Medium Risk
24,39095.29,479,5000.0,3,3.96,0.1278926438453327,True,False,False,False,False,True,False,False,False,False,False,True,0.5435555636636197,1,Medium Risk
58,80048.57,683,5000.0,3,4.5,0.0624620777110696,True,False,False,False,False,False,False,False,False,False,True,False,0.09014321995711923,0,Low Risk
35,5000.0,300,2485.19,3,7.93,0.497038,False,True,False,False,False,True,False,False,False,False,False,True,0.503371422859145,1,Medium Risk
26,71319.02,635,5000.0,6,7.22,0.0701075253137241,False,False,False,True,False,False,False,False,False,False,False,False,0.09394075232266828,1,Low Risk
42,102571.74,834,5000.0,12,1.75,0.0487463701015503,False,True,False,True,False,False,False,True,False,False,False,False,0.20425447962384766,0,Low Risk
29,71503.02,614,5000.0,12,5.72,0.0699271163651549,True,False,False,False,False,True,False,True,False,False,False,False,0.07102120454306048,0,Low Risk
42,15184.95,357,5000.0,6,9.22,0.3292733924049799,False,False,True,False,False,False,True,False,True,False,False,False,0.6237143509659455,1,High Risk
29,7229.06,320,2888.04,12,1.68,0.3995042232323427,True,False,False,True,False,False,False,False,True,False,False,False,0.5461248658034448,0,Medium Risk
29,6479.12,329,2200.6,9,9.14,0.3396448900467965,False,False,False,False,False,True,False,False,False,False,False,False,0.5310702475163231,0,Medium Risk
33,5000.0,362,1583.62,9,2.64,0.316724,False,False,False,False,True,False,False,False,False,False,False,False,0.4870991212145333,0,Medium Risk
34,54372.3,461,5000.0,3,5.14,0.0919585892081078,False,True,False,False,True,False,False,False,False,False,False,False,0.5515101838815594,0,Medium Risk
55,16468.6,332,4698.1,6,8.25,0.2852762226297318,True,False,False,True,False,False,False,False,True,False,False,False,0.5846752595052762,1,Medium Risk
46,14643.5,318,4246.97,12,9.38,0.2900242428381193,False,False,True,False,False,False,False,False,True,False,False,False,0.5735054275656113,0,Medium Risk
54,97535.65,779,5000.0,6,2.09,0.0512633073137873,False,False,True,False,False,False,True,False,False,False,True,False,0.13423506104775704,0,Low Risk
57,7406.97,300,2121.61,9,7.67,0.2864342639432858,False,False,False,False,False,False,False,False,False,True,False,False,0.5815745822557159,1,Medium Risk
42,41742.29,487,5000.0,9,9.56,0.1197825993734411,True,False,False,False,False,False,False,False,False,True,False,False,0.603874040770141,0,High Risk
18,9584.0,303,5000.0,6,9.25,0.5217028380634391,False,False,True,False,True,False,False,False,False,False,False,False,0.6226394186805387,1,High Risk
20,7022.17,300,1997.97,3,9.62,0.2845231602197041,False,True,False,True,False,False,False,True,False,False,False,False,0.5394198010230548,0,Medium Risk
51,73162.11,633,5000.0,12,7.95,0.0683413859988455,False,True,False,False,False,False,True,False,False,True,False,False,0.17229319296538886,0,Low Risk
41,98093.39,764,5000.0,3,5.53,0.0509718340858645,False,False,False,False,False,False,False,False,True,False,False,False,0.12671527882711633,0,Low Risk
37,11609.58,348,4607.53,6,3.35,0.3968730996297885,True,False,False,False,True,False,False,False,False,False,True,False,0.5805069167741557,0,Medium Risk
29,10601.95,354,5000.0,3,8.42,0.4716113545149712,True,False,False,False,False,False,False,False,False,True,False,False,0.5446237764220324,0,Medium Risk
24,39347.06,460,5000.0,3,3.64,0.1270742972918434,False,False,False,False,True,False,False,False,False,False,True,False,0.6116823502027356,1,High Risk
38,43472.65,448,5000.0,9,4.38,0.1150148426654459,False,False,False,False,False,True,False,False,False,False,False,True,0.6586813440154363,1,High Risk
43,66336.48,586,5000.0,3,1.19,0.0753733089244409,False,False,False,True,False,False,False,False,False,False,True,False,0.18922258356008098,0,Low Risk
28,17700.79,423,5000.0,9,8.64,0.2824732681422693,True,False,False,True,False,False,False,False,False,True,False,False,0.5329048171520675,1,Medium Risk
23,5751.61,313,2030.65,3,7.53,0.3530576655927644,False,False,True,False,False,False,False,False,False,False,False,False,0.5652168055251292,0,Medium Risk
38,8454.37,338,303.9,9,4.83,0.035945907264527,True,False,False,False,False,True,False,False,False,False,True,False,0.5640117023256167,1,Medium Risk
23,43315.74,526,2199.14,6,7.3,0.0507699972342617,False,False,False,False,False,False,False,False,False,False,True,False,0.5367049671779076,0,Medium Risk
38,12509.25,300,4257.32,6,8.12,0.3403337530227631,False,True,False,False,False,False,True,False,False,True,False,False,0.6659079638919211,1,High Risk
40,15915.37,381,5000.0,12,4.84,0.314161719143193,False,True,False,False,True,False,False,False,False,False,False,False,0.5753407793199662,0,Medium Risk
24,27612.74,469,5000.0,9,5.6,0.1810758367333339,False,True,False,False,False,False,True,False,False,False,True,False,0.4986678431625593,0,Medium Risk
48,9178.49,300,1635.03,12,2.42,0.1781371445629945,False,False,False,False,True,False,False,False,False,True,False,False,0.6434938990432099,0,High Risk
43,19231.4,446,4485.28,3,3.83,0.2332269101573468,False,False,True,False,False,False,True,False,True,False,False,False,0.5393583725000485,1,Medium Risk
45,81281.53,714,5000.0,6,9.36,0.0615145900919926,False,True,False,True,False,False,False,False,False,False,False,False,0.18629863660458634,0,Low Risk
54,21591.23,450,4249.98,6,5.71,0.1968382533093297,True,False,False,False,True,False,False,False,True,False,False,False,0.4986253854137749,0,Medium Risk
35,36162.99,452,5000.0,6,1.09,0.1382629035928721,False,False,False,True,False,False,False,True,False,False,False,False,0.5349223688328811,0,Medium Risk
53,8643.27,348,4303.45,12,8.66,0.4978960509159149,False,True,False,True,False,False,False,False,False,False,False,True,0.5165800693542891,1,Medium Risk
39,55754.19,552,5000.0,12,3.61,0.0896793586275757,True,False,False,False,True,False,False,False,False,False,True,False,0.1531346389188935,0,Low Risk
27,6251.83,303,1795.37,6,3.55,0.287175115126291,False,False,True,False,False,False,True,False,True,False,False,False,0.555128099500917,0,Medium Risk
20,50235.75,522,5000.0,12,5.39,0.0995307126896682,False,False,True,False,True,False,False,False,False,True,False,False,0.5507664733343738,1,Medium Risk
33,11765.28,300,3938.25,12,9.4,0.3347349149361511,False,False,False,False,False,False,False,False,False,False,True,False,0.6062008758224781,0,High Risk
39,83971.29,721,5000.0,3,6.71,0.0595441608673631,False,False,False,True,False,False,False,False,False,False,False,True,0.09136017901325932,0,Low Risk
33,12302.31,356,5000.0,3,8.54,0.4064277359292685,False,False,False,False,False,False,False,False,False,False,True,False,0.5822473279066579,0,Medium Risk
24,60605.61,574,5000.0,12,7.6,0.0825006133920605,False,False,True,False,False,False,True,False,False,False,False,False,0.14350614910749004,0,Low Risk
56,88594.34,716,5000.0,6,2.14,0.0564370139221083,True,False,False,False,False,True,False,False,True,False,False,False,0.12013848823655207,0,Low Risk
24,14244.75,358,5000.0,9,3.86,0.3510065111707822,False,True,False,False,False,True,False,True,False,False,False,False,0.5662236729189862,1,Medium Risk
28,47507.46,526,5000.0,3,6.04,0.1052466286347449,False,False,False,False,True,False,False,True,False,False,False,False,0.5599046449380725,1,Medium Risk
41,10832.33,300,3356.12,3,1.05,0.3098243868124402,False,False,False,False,False,True,False,False,False,False,True,False,0.5194732517435702,0,Medium Risk
18,39237.91,434,5000.0,9,2.29,0.1274277860365141,False,False,False,False,True,False,False,True,False,False,False,False,0.5675572845902359,0,Medium Risk
36,8696.0,326,2109.84,12,4.65,0.242621895124195,True,False,False,False,True,False,False,True,False,False,False,False,0.5091057337896607,0,Medium Risk
47,14751.35,320,5000.0,3,3.02,0.3389520281194602,False,False,False,False,True,False,False,False,False,True,False,False,0.5677750215520148,0,Medium Risk
23,60745.27,566,100.0,3,8.17,0.0016462187097036,False,False,False,False,False,False,False,False,False,False,True,False,0.14407654642151072,0,Low Risk
25,45986.04,503,5000.0,6,7.34,0.1087286489552046,False,False,False,False,False,False,True,False,False,False,False,True,0.5768847114547196,1,Medium Risk
33,9556.27,371,100.0,12,4.24,0.0104643338875942,True,False,False,False,True,False,False,False,False,False,True,False,0.6154392394861667,0,High Risk
23,47295.89,476,5000.0,6,2.19,0.1057174312609404,False,False,False,True,False,False,False,False,False,False,True,False,0.5518110227161528,1,Medium Risk
21,8561.61,308,4443.17,6,9.08,0.5189643069469411,True,False,False,False,False,False,True,False,True,False,False,False,0.5991350969795676,1,Medium Risk
42,14331.9,339,5000.0,6,8.77,0.3488720965119768,False,True,False,False,False,True,False,False,False,True,False,False,0.5365992329477923,0,Medium Risk
35,23623.27,386,5000.0,6,6.49,0.2116557106615637,False,False,False,True,False,False,False,True,False,False,False,False,0.6079272249580069,0,High Risk
